Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Link
SBMFF,Sino Biopharmaceutical Limited,6.69B,0.41,-3.00%,Biotechnology,"3,688",11.88,https://stockanalysis.com/quote/otc/SBMFF/
SBHMY,Sino Biopharmaceutical Limited,6.66B,7.59,-3.86%,Biotechnology,130,11.84,https://stockanalysis.com/quote/otc/SBHMY/
AKESF,"Akeso, Inc.",6.47B,7.19,-0.83%,Biotechnology,"3,000",-,https://stockanalysis.com/quote/otc/AKESF/
HKMPY,Hikma Pharmaceuticals PLC,5.47B,50.55,0.10%,Drug Manufacturers - Specialty & Generic,"1,100",19.19,https://stockanalysis.com/quote/otc/HKMPY/
HKMPF,Hikma Pharmaceuticals PLC,5.47B,24.59,-1.72%,Drug Manufacturers - Specialty & Generic,800,19.19,https://stockanalysis.com/quote/otc/HKMPF/
HLUBF,H. Lundbeck A/S,5.32B,4.43,-,Drug Manufacturers - Specialty & Generic,-,13.23,https://stockanalysis.com/quote/otc/HLUBF/
HLBBF,H. Lundbeck A/S,5.32B,6.15,-,Drug Manufacturers - Specialty & Generic,"2,485",13.23,https://stockanalysis.com/quote/otc/HLBBF/
TLPPF,Telix Pharmaceuticals Limited,4.94B,14.64,-4.69%,Biotechnology,"1,800",150.53,https://stockanalysis.com/quote/otc/TLPPF/
AKBLF,ALK-Abelló A/S,4.64B,20.30,-,Biotechnology,1,39.53,https://stockanalysis.com/quote/otc/AKBLF/
APNHY,Aspen Pharmacare Holdings Limited,3.93B,9.26,-,Drug Manufacturers - Specialty & Generic,-,16.27,https://stockanalysis.com/quote/otc/APNHY/
SHJBF,"Shanghai Junshi Biosciences Co., Ltd.",2.89B,1.97,-,Biotechnology,150,-,https://stockanalysis.com/quote/otc/SHJBF/
GNNSF,Genscript Biotech Corporation,2.47B,1.27,-,Biotechnology,100,-,https://stockanalysis.com/quote/otc/GNNSF/
BVNKF,Bavarian Nordic A/S,2.17B,26.25,-,Biotechnology,-,12.98,https://stockanalysis.com/quote/otc/BVNKF/
BVNRY,Bavarian Nordic A/S,2.17B,9.20,2.52%,Biotechnology,"3,700",12.98,https://stockanalysis.com/quote/otc/BVNRY/
MEOBF,Mesoblast Limited,1.99B,2.18,-0.91%,Biotechnology,240,-,https://stockanalysis.com/quote/otc/MEOBF/
PPTDF,PeptiDream Inc.,1.93B,17.85,-,Biotechnology,-,16.14,https://stockanalysis.com/quote/otc/PPTDF/
NDOI,Endo Inc.,1.87B,24.50,-1.49%,Drug Manufacturers - Specialty & Generic,"731,000",1.20,https://stockanalysis.com/quote/otc/NDOI/
HYPMY,Hypera S.A.,1.84B,3.05,-0.97%,Drug Manufacturers - Specialty & Generic,700,6.40,https://stockanalysis.com/quote/otc/HYPMY/
GTBIF,Green Thumb Industries Inc.,1.74B,7.39,-1.60%,Drug Manufacturers - Specialty & Generic,"453,500",27.32,https://stockanalysis.com/quote/otc/GTBIF/
TRSBF,3SBio Inc.,1.72B,0.83,-,Biotechnology,-,7.54,https://stockanalysis.com/quote/otc/TRSBF/
NPPNY,"Nippon Shinyaku Co., Ltd.",1.69B,6.05,-,Drug Manufacturers - Specialty & Generic,-,9.29,https://stockanalysis.com/quote/otc/NPPNY/
BRCTF,BioArctic AB (publ),1.63B,19.32,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/BRCTF/
