Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Link
LMLLF,Pharmadrug Inc.,1.12M,0.01,0.36%,Drug Manufacturers - Specialty & Generic,"12,374",-,https://stockanalysis.com/quote/otc/LMLLF/
EVFM,"Evofem Biosciences, Inc.",1.11M,0.01,-,Biotechnology,"561,700",-,https://stockanalysis.com/quote/otc/EVFM/
NLVVF,New Leaf Ventures Inc,1.11M,0.01,-30.00%,Drug Manufacturers - Specialty & Generic,"157,000",-,https://stockanalysis.com/quote/otc/NLVVF/
ETRGF,Entourage Health Corp.,1.07M,0.01,-1.71%,Drug Manufacturers - Specialty & Generic,"63,863",-,https://stockanalysis.com/quote/otc/ETRGF/
RGBP,"Regen BioPharma, Inc.",1.05M,0.10,25.00%,Biotechnology,"38,018",-,https://stockanalysis.com/quote/otc/RGBP/
TCNAF,TransCanna Holdings Inc.,1.03M,0,-,Drug Manufacturers - Specialty & Generic,"5,000",-,https://stockanalysis.com/quote/otc/TCNAF/
BRAXF,Braxia Scientific Corp.,1.03M,0.00,-,Biotechnology,"14,000",-,https://stockanalysis.com/quote/otc/BRAXF/
TSOI,"Therapeutic Solutions International, Inc.",1.02M,0.00,-33.33%,Biotechnology,"168,261,448",-,https://stockanalysis.com/quote/otc/TSOI/
CBDY,Target Group Inc.,1.02M,0.00,21.43%,Drug Manufacturers - Specialty & Generic,"87,000",-,https://stockanalysis.com/quote/otc/CBDY/
MGWFF,Maple Leaf Green World Inc.,985.33K,0.03,22.12%,Drug Manufacturers - Specialty & Generic,"1,168",-,https://stockanalysis.com/quote/otc/MGWFF/
REZNF,Street Capital Inc.,976.85K,0.00,-,Drug Manufacturers - Specialty & Generic,"3,500",-,https://stockanalysis.com/quote/otc/REZNF/
OVATF,Ovation Science Inc.,975.06K,0.02,-48.03%,Drug Manufacturers - Specialty & Generic,"16,000",-,https://stockanalysis.com/quote/otc/OVATF/
GRTSQ,"Gritstone bio, Inc.",967.49K,0.01,-,Biotechnology,"954,300",-,https://stockanalysis.com/quote/otc/GRTSQ/
ISCO,International Stem Cell Corporation,960.53K,0.12,9.09%,Biotechnology,"5,700",-,https://stockanalysis.com/quote/otc/ISCO/
LADX,LadRx Corporation,940.68K,1.90,0.53%,Biotechnology,300,-,https://stockanalysis.com/quote/otc/LADX/
AQSZF,Aequus Pharmaceuticals Inc.,918.73K,0.01,-4.29%,Drug Manufacturers - Specialty & Generic,"22,000",-,https://stockanalysis.com/quote/otc/AQSZF/
MCIC,"MultiCorp International, Inc.",918.67K,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/MCIC/
WOWU,"WOWI, Inc.",899.97K,0.03,442.00%,Drug Manufacturers - Specialty & Generic,473,-,https://stockanalysis.com/quote/otc/WOWU/
GSAC,GelStat Corp.,897.13K,0.00,-,Drug Manufacturers - Specialty & Generic,"14,444",-,https://stockanalysis.com/quote/otc/GSAC/
EMMA,"Emmaus Life Sciences, Inc.",894.12K,0.01,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/EMMA/
SQZB,SQZ Biotechnologies Company,884.73K,0.03,-,Biotechnology,100,-,https://stockanalysis.com/quote/otc/SQZB/
GPFT,"Grapefruit USA, Inc.",874.30K,0.00,-,Drug Manufacturers - Specialty & Generic,"31,100",-,https://stockanalysis.com/quote/otc/GPFT/
LRDSF,Lords & Company Worldwide Holdings Inc.,854.54K,0.00,-,Drug Manufacturers - Specialty & Generic,500,-,https://stockanalysis.com/quote/otc/LRDSF/
RGTPQ,"RegenETP, Inc.",805.66K,0.11,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/RGTPQ/
NXEN,"Nexien BioPharma, Inc.",771.42K,0.01,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/NXEN/
RSPI,RespireRx Pharmaceuticals Inc.,759.57K,0.00,14.29%,Biotechnology,"2,471",-,https://stockanalysis.com/quote/otc/RSPI/
ARTH,"Arch Therapeutics, Inc.",755.99K,0.17,-5.50%,Biotechnology,300,-,https://stockanalysis.com/quote/otc/ARTH/
NMLSF,Restart Life Sciences Corp.,748.59K,0.02,-,Biotechnology,-,67.20,https://stockanalysis.com/quote/otc/NMLSF/
GCAN,"The Greater Cannabis Company, Inc.",724.18K,0.00,-10.00%,Drug Manufacturers - Specialty & Generic,"45,574,499",-,https://stockanalysis.com/quote/otc/GCAN/
GRCU,Global Roundtable Corporation,722.68K,0.00,-33.33%,Drug Manufacturers - Specialty & Generic,"5,000",0.00,https://stockanalysis.com/quote/otc/GRCU/
NPHC,Nutra Pharma Corp.,709.97K,0.00,-,Drug Manufacturers - Specialty & Generic,"4,000",0.20,https://stockanalysis.com/quote/otc/NPHC/
BTAX,Biostax Corp.,708.42K,0.01,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/BTAX/
NTRR,Neutra Corp.,690.22K,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/NTRR/
PXMD,"PaxMedica, Inc.",660.35K,0.06,-3.33%,Biotechnology,"46,300",-,https://stockanalysis.com/quote/otc/PXMD/
BIEI,"Premier Biomedical, Inc.",659.33K,0.00,-14.29%,Drug Manufacturers - Specialty & Generic,"1,276,200",-,https://stockanalysis.com/quote/otc/BIEI/
NRXCF,NeutriSci International Inc.,651.26K,0,-,Drug Manufacturers - Specialty & Generic,"55,200",-,https://stockanalysis.com/quote/otc/NRXCF/
HAVLF,HAVN Life Sciences Inc.,621.26K,0.00,900.00%,Biotechnology,"1,347",-,https://stockanalysis.com/quote/otc/HAVLF/
NWPN,The Now Corporation,612.48K,0.00,-33.33%,Drug Manufacturers - Specialty & Generic,"1,685,700",-,https://stockanalysis.com/quote/otc/NWPN/
ITMC,Itoco Inc.,599.50K,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/ITMC/
DMAN,"Demand Brands, Inc.",591.50K,0.00,-,Drug Manufacturers - Specialty & Generic,-,1.95,https://stockanalysis.com/quote/otc/DMAN/
CYTOF,Altamira Therapeutics Ltd.,574.86K,0.17,4.97%,Biotechnology,"33,100",-,https://stockanalysis.com/quote/otc/CYTOF/
AXIM,"AXIM Biotechnologies, Inc.",550.70K,0.00,-,Biotechnology,"437,600",-,https://stockanalysis.com/quote/otc/AXIM/
TMSH,TransGlobal Assets Inc.,543.26K,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/TMSH/
MRZM,"Marizyme, Inc.",540.35K,0.00,-14.58%,Biotechnology,"52,572",-,https://stockanalysis.com/quote/otc/MRZM/
PKBO,"Peak Bio, Inc.",520.31K,0.02,-,Biotechnology,"66,140",-,https://stockanalysis.com/quote/otc/PKBO/
SKYI,"Sky Century Investment, Inc.",496.44K,0.00,-4.26%,Drug Manufacturers - Specialty & Generic,"4,156",-,https://stockanalysis.com/quote/otc/SKYI/
CBGL,"Cannabis Global, Inc.",453.43K,0.00,-,Drug Manufacturers - Specialty & Generic,"21,994,444",-,https://stockanalysis.com/quote/otc/CBGL/
BLEG,Branded Legacy Inc,436.58K,0.00,-,Drug Manufacturers - Specialty & Generic,"2,422,500",-,https://stockanalysis.com/quote/otc/BLEG/
GSTC,GlobeStar Therapeutics Corporation,434.39K,0.00,-12.50%,Biotechnology,"2,268,999",-,https://stockanalysis.com/quote/otc/GSTC/
CANQF,CanaQuest Medical Corp.,428.23K,0.02,-,Drug Manufacturers - Specialty & Generic,"5,000",-,https://stockanalysis.com/quote/otc/CANQF/
GRPS,"Gold River Productions, Inc.",411.31K,0.00,-,Drug Manufacturers - Specialty & Generic,"100,001",-,https://stockanalysis.com/quote/otc/GRPS/
EMGE,Emergent Health Corp,405.60K,0.00,18.75%,Drug Manufacturers - Specialty & Generic,"1,000,000",-,https://stockanalysis.com/quote/otc/EMGE/
GBHPF,Global Hemp Group Inc.,336.52K,0.02,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/GBHPF/
SRNE,"Sorrento Therapeutics, Inc.",326.23K,0.33,8.92%,Biotechnology,"1,403,499",-,https://stockanalysis.com/quote/otc/SRNE/
KOAN,"Resonate Blends, Inc.",311.24K,0.00,-18.42%,Drug Manufacturers - Specialty & Generic,"1,369,998",-,https://stockanalysis.com/quote/otc/KOAN/
RLBD,"Real Brands, Inc.",269.06K,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/RLBD/
PPCB,"Propanc Biopharma, Inc.",236.97K,0.00,-,Biotechnology,"50,000",-,https://stockanalysis.com/quote/otc/PPCB/
CNBX,CNBX Pharmaceuticals Inc.,224.00K,0.01,-28.00%,Biotechnology,"17,817",-,https://stockanalysis.com/quote/otc/CNBX/
NTBLQ,"Notable Labs, Ltd.",198.99K,0.02,-30.00%,Biotechnology,"16,300",-,https://stockanalysis.com/quote/otc/NTBLQ/
EGSE,"Evergreen Sustainable Enterprises, Inc.",170.54K,0.00,100.00%,Drug Manufacturers - Specialty & Generic,"3,502",-,https://stockanalysis.com/quote/otc/EGSE/
MTEM,"Molecular Templates, Inc.",169.21K,0.03,-,Biotechnology,"134,200",-,https://stockanalysis.com/quote/otc/MTEM/
SEELQ,"Seelos Therapeutics, Inc.",168.93K,0.39,-4.88%,Biotechnology,700,0.01,https://stockanalysis.com/quote/otc/SEELQ/
VFRM,"Veritas Farms, Inc.",163.88K,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/VFRM/
BLPH,"Bellerophon Therapeutics, Inc.",146.79K,0.01,-25.47%,Biotechnology,"7,027",-,https://stockanalysis.com/quote/otc/BLPH/
NEXI,"NexImmune, Inc.",139.61K,0.10,-1.96%,Biotechnology,300,-,https://stockanalysis.com/quote/otc/NEXI/
HSTOQ,Histogen Inc.,118.33K,0.03,-,Biotechnology,20,-,https://stockanalysis.com/quote/otc/HSTOQ/
TCON,"TRACON Pharmaceuticals, Inc.",109.72K,0.03,-,Biotechnology,-,0.01,https://stockanalysis.com/quote/otc/TCON/
TPIA,"Mycotopia Therapies, Inc.",67.10K,0.01,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/TPIA/
USRM,"U.S. Stem Cell, Inc.",66.15K,0.00,-,Biotechnology,"379,185",-,https://stockanalysis.com/quote/otc/USRM/
AFFY,"Affymax, Inc.",59.59K,0.00,-66.67%,Biotechnology,"200,000",0.01,https://stockanalysis.com/quote/otc/AFFY/
IPIX,Innovation Pharmaceuticals Inc.,52.88K,0.00,-,Biotechnology,"19,150",-,https://stockanalysis.com/quote/otc/IPIX/
HEMP,"Hemp, Inc",40.02K,0.00,-,Drug Manufacturers - Specialty & Generic,"784,800",-,https://stockanalysis.com/quote/otc/HEMP/
MCOA,"Marijuana Company of America, Inc.",22.08K,0.00,-100.00%,Drug Manufacturers - Specialty & Generic,"1,300,000",-,https://stockanalysis.com/quote/otc/MCOA/
NLBS,"NutraLife BioSciences, Inc.",18.06K,0.00,-,Drug Manufacturers - Specialty & Generic,"135,556",-,https://stockanalysis.com/quote/otc/NLBS/
ZHCLF,Zenith Capital Corp.,15.26K,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/ZHCLF/
VBIVQ,VBI Vaccines Inc.,14.34K,0.00,-,Biotechnology,"5,434",-,https://stockanalysis.com/quote/otc/VBIVQ/
ACUR,"Acura Pharmaceuticals, Inc.",13.27K,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/ACUR/
SCPS,Scopus BioPharma Inc.,12.63K,0.00,-,Biotechnology,"11,667",-,https://stockanalysis.com/quote/otc/SCPS/
XSNX,NovAccess Global Inc.,12.38K,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/XSNX/
NAVB,"Navidea Biopharmaceuticals, Inc.",10.00K,0.00,-,Biotechnology,"213,460",-,https://stockanalysis.com/quote/otc/NAVB/
EVLO,"Evelo Biosciences, Inc.",9.49K,0.00,-,Biotechnology,88,-,https://stockanalysis.com/quote/otc/EVLO/
FWDG,FutureWorld Corp.,8.39K,0.00,-,Drug Manufacturers - Specialty & Generic,"165,000",-,https://stockanalysis.com/quote/otc/FWDG/
GLSHQ,"Gelesis Holdings, Inc.",7.33K,0.00,-,Biotechnology,"50,000",-,https://stockanalysis.com/quote/otc/GLSHQ/
STAB,"Statera Biopharma, Inc.",7.26K,0.00,-,Biotechnology,"2,000",-,https://stockanalysis.com/quote/otc/STAB/
THER,"Theralink Technologies, Inc.",6.15K,0.00,-99.00%,Biotechnology,"1,254,766",-,https://stockanalysis.com/quote/otc/THER/
CMRA,"Comera Life Sciences Holdings, Inc.",6.15K,0.00,-,Biotechnology,"4,000",-,https://stockanalysis.com/quote/otc/CMRA/
BTTX,"Better Therapeutics, Inc.",5.45K,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/BTTX/
ARDS,"Aridis Pharmaceuticals, Inc.",5.33K,0.00,-,Biotechnology,"10,450",-,https://stockanalysis.com/quote/otc/ARDS/
RBSH,"Rebus Holdings, Inc.",3.21K,0.00,-,Biotechnology,402,0.01,https://stockanalysis.com/quote/otc/RBSH/
AMPE,"Ampio Pharmaceuticals, Inc.",2.95K,0.00,-,Biotechnology,878,-,https://stockanalysis.com/quote/otc/AMPE/
IVRN,Innoveren Scientific Inc.,2.45K,0.00,-,Biotechnology,"35,014",-,https://stockanalysis.com/quote/otc/IVRN/
RGRX,"RegeneRx Biopharmaceuticals, Inc.",2.11K,0.00,-,Biotechnology,700,-,https://stockanalysis.com/quote/otc/RGRX/
CALA,"Calithera Biosciences, Inc.",1.46K,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/CALA/
ATRX,"Adhera Therapeutics, Inc.",1.16K,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/ATRX/
LITH,BioELife Corp.,941.00,0.00,-,Drug Manufacturers - Specialty & Generic,175,-,https://stockanalysis.com/quote/otc/LITH/
EFTR,"eFFECTOR Therapeutics, Inc.",941.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/EFTR/
LSDIF,Lucy Scientific Discovery Inc.,706.00,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/LSDIF/
ONCSQ,OncoSec Medical Incorporated,596.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/ONCSQ/
HENC,Hero Technologies Inc.,564.00,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/HENC/
TNGNQ,"Tengion, Inc.",402.00,0.00,900.00%,Biotechnology,"2,640",-,https://stockanalysis.com/quote/otc/TNGNQ/
CLVR,Clever Leaves Holdings Inc.,351.00,0.00,-99.20%,Drug Manufacturers - Specialty & Generic,443,-,https://stockanalysis.com/quote/otc/CLVR/
BZAMF,BZAM Ltd.,271.00,0.00,-100.00%,Drug Manufacturers - Specialty & Generic,"11,500",-,https://stockanalysis.com/quote/otc/BZAMF/
BHNGF,Bhang Inc.,264.00,0.00,-,Drug Manufacturers - Specialty & Generic,"24,536",-,https://stockanalysis.com/quote/otc/BHNGF/
QBIO,Q BioMed Inc.,145.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/QBIO/
PSYBF,PsyBio Therapeutics Corp.,133.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/PSYBF/
RVLPQ,RVL Pharmaceuticals plc,111.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/RVLPQ/
INFIQ,"Infinity Pharmaceuticals, Inc.",91.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/INFIQ/
STMH,"Stem Holdings, Inc.",67.00,0,-,Drug Manufacturers - Specialty & Generic,"1,765",-,https://stockanalysis.com/quote/otc/STMH/
ATHXQ,"Athersys, Inc.",62.00,0.00,-,Biotechnology,"6,012",-,https://stockanalysis.com/quote/otc/ATHXQ/
GNCAQ,"Genocea Biosciences, Inc.",59.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/GNCAQ/
BXRXQ,"Baudax Bio, Inc.",52.00,0.00,-100.00%,Biotechnology,"2,143",-,https://stockanalysis.com/quote/otc/BXRXQ/
KLDO,"Kaleido Biosciences, Inc.",43.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/KLDO/
CLAZF,"Claritas Pharmaceuticals, Inc.",38.00,0.00,-,Biotechnology,"4,200",0.00,https://stockanalysis.com/quote/otc/CLAZF/
VICP,"Vicapsys Life Sciences, Inc.",32.00,0,-,Biotechnology,"2,407",-,https://stockanalysis.com/quote/otc/VICP/
ANTH,"Anthera Pharmaceuticals, Inc.",26.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/ANTH/
TLOG,TetraLogic Pharmaceuticals Corporation,24.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/TLOG/
SNNAQ,"Sienna Biopharmaceuticals, Inc.",23.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/SNNAQ/
IMVIF,IMV Inc.,15.00,0.00,-,Biotechnology,593,-,https://stockanalysis.com/quote/otc/IMVIF/
NMTRQ,"9 Meters Biopharma, Inc.",14.00,0.00,-,Biotechnology,"58,891",-,https://stockanalysis.com/quote/otc/NMTRQ/
CFRXQ,ContraFect Corporation,11.00,0.00,-,Biotechnology,"12,000",-,https://stockanalysis.com/quote/otc/CFRXQ/
DMKPQ,DMK Pharmaceuticals Corporation,10.00,0.00,-100.00%,Drug Manufacturers - Specialty & Generic,"10,583",-,https://stockanalysis.com/quote/otc/DMKPQ/
ADYX,"Adynxx, Inc.",6.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/ADYX/
NEPTF,Neptune Wellness Solutions Inc.,5.00,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/NEPTF/
ACUS,"Acusphere, Inc.",5.00,0.00,-,Drug Manufacturers - Specialty & Generic,-,-,https://stockanalysis.com/quote/otc/ACUS/
ELOX,"Eloxx Pharmaceuticals, Inc.",3.00,0.00,-,Biotechnology,"1,745",-,https://stockanalysis.com/quote/otc/ELOX/
NBRVF,Nabriva Therapeutics plc,3.00,0.00,-,Biotechnology,415,-,https://stockanalysis.com/quote/otc/NBRVF/
PARD,"Poniard Pharmaceuticals, Inc.",1.00,0.00,-,Biotechnology,-,-,https://stockanalysis.com/quote/otc/PARD/
CNNXF,CannAmerica Brands Corp.,-,0.00,-,Drug Manufacturers - Specialty & Generic,"1,000",-,https://stockanalysis.com/quote/otc/CNNXF/
ACRHF,"Acreage Holdings, Inc.",-,0.00,-2.44%,Drug Manufacturers - Specialty & Generic,"928,443",-,https://stockanalysis.com/quote/otc/ACRHF/
